ANT1,19.40,-1.90,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,18.50,0.20,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-7.00,-3.00,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C10,10.80,0.00,90.00,100pF,NORDIC_NRF_3_RESC0201_L
C11,10.80,-1.10,90.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,9.30,2.50,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,8.10,2.90,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C14,2.40,0.90,90.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C15,5.40,3.00,90.00,1.0uF,NORDIC_NRF_3_RESC0201_L
C16,6.80,3.00,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,0.60,-0.20,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,1.10,-4.90,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-6.20,5.90,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C2,18.30,3.00,180.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,11.10,-8.80,0.00,4.7uF/25V,NORDIC_NRF_3_RESC0201_L
C20,3.20,-6.40,90.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C21,5.30,-6.20,90.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C22,16.40,-3.70,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C23,-13.00,16.30,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-13.90,16.60,270.00,10uF,NORDIC_NRF_3_RESC0201_L
C25,-8.40,13.10,0.00,22uF,NORDIC_NRF_3_RESC0201_L
C27,-7.40,-10.30,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C29,-8.10,-15.60,0.00,1uF,GRM011R60J152KE01L_1_0201
C3,10.90,-2.30,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,13.90,-15.90,0.00,1uF,GRM011R60J152KE01L_1_0201
C31,2.90,-15.80,0.00,1uF,GRM011R60J152KE01L_1_0201
C32,-2.30,-2.60,0.00,1uF,NORDIC_NRF_3_RESC0201_L
C33,-8.40,12.30,0.00,22uF,NORDIC_NRF_3_RESC0201_L
C34,-3.60,-2.60,0.00,0.1uF,NORDIC_NRF_3_RESC0201_L
C37,-4.10,12.50,0.00,1uF,GRM011R60J152KE01L_1_0201
C38,-6.60,13.00,0.00,1uF,GRM011R60J152KE01L_1_0201
C39,-6.90,14.10,0.00,10uF,NORDIC_NRF_3_RESC0201_L
C4,15.60,-3.70,90.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,15.60,16.20,0.00,0.1uF,GRM011R60J152KE01L_1_0201
C43,11.80,16.30,0.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C5,0.80,0.80,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,2.50,-5.30,90.00,4.7uF,NORDIC_NRF_3_RESC0201_L
C7,7.60,-6.30,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,11.20,-5.00,90.00,100nF,NORDIC_NRF_3_RESC0201_L
C9,11.00,-3.70,90.00,820pF,NORDIC_NRF_3_RESC0201_L
D1,6.70,6.50,270.00,ESP32_C6_LIBRARY_3_USBLC6-2SC6Y,ESP32_C6_LIBRARY_3_SOT95P280X145-6N
D2,7.60,-9.70,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D4,2.00,-9.80,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
D5,14.30,-9.60,0.00,ESP32_C6_LIBRARY_5_MBR0530,ESP32_C6_LIBRARY_5_SOD3716X135N
EDP_C5,-10.10,-0.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C1,-10.30,4.40,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C10,-9.90,-5.60,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C11,-10.00,-6.50,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C12,-10.20,-7.40,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C2,-10.30,5.20,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C6,-9.90,-1.70,90.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C7,-9.80,-2.70,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C8,-10.10,-3.70,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
EPD_C9,-10.00,-4.70,0.00,1uF/50V,NORDIC_NRF_3_RESC0201_L
